,stock_number,sharpe_ratio,total_return
1614,8421,2.692374268063678,1.6449742467785935
1615,8422,4.256455925348357,0.8032964235103626
1616,8423,2.4952420647649505,0.546911092617818
1617,8424,1.073077549743992,0.1393608472546198
1618,8426,3.1436427564015577,2.0319320622475385
1619,8429,3.047990283879287,0.9293202294628159
1620,8431,2.7183928430300615,0.8314608823968763
1621,8432,1.2350850991738753,0.26974717570722745
1622,8433,3.9104467429461853,2.118874654035804
1623,8435,0.8781061863158134,0.08154451755986543
1624,8436,3.239362924980738,1.2738829296129852
1625,8437,1.0339818040607687,0.1517406424144623
1626,8440,0.06301520632167341,-0.11153045849150033
1627,8442,0.736100933022693,0.1615595184672887
1628,8443,1.4974603417736414,0.16893212310292796
1629,8444,-1.2210085639747834,-0.33529933677681667
1630,8446,2.2350005173031957,0.3047133198776254
1631,8450,1.3454945392107431,0.6114554553540748
1632,8454,5.379437032162446,6.9998777890144925
1633,8455,2.6758517066890932,1.2201362487204073
1634,8462,1.2484029445627074,0.27015258553155436
1635,8463,1.469443405584746,0.40386881634755667
1636,8464,4.037162976575863,1.6671985668792961
1637,8466,0.7122912638174,0.10918564533948313
1638,8467,2.4578321144162296,1.2941165568899067
1639,8472,2.757797133143523,1.4771823946131257
1640,8473,1.3070409499240523,0.10829720035518121
1641,8476,2.0198647035426367,0.47310031258834756
1642,8477,-1.126604144737234,-0.14891071875461037
1643,8478,0.2911562386741777,-0.005770572528605129
1644,8481,1.247892060981939,0.16142262244121228
